TenPct_AGhipX	TenPct_AGhipY	TenPct_AGhipZ	TwentyFivePct_AGhipX	TwentyFivePct_AGhipY	TwentyFivePct_AGhipZ	FiftyPct_AGhipX	FiftyPct_AGhipY	FiftyPct_AGhipZ	SeventyFivePct_AGhipX	SeventyFivePct_AGhipY	SeventyFivePct_AGhipZ	NinetyPct_AGhipX	NinetyPct_AGhipY	NinetyPct_AGhipZ
-0.008	0.965	-0.301	0.008	0.969	-0.289	0.016	0.973	-0.277	0.051	0.977	-0.266	0.059	0.98	-0.258
0.004	0.977	-0.266	0.012	0.977	-0.258	0.02	0.98	-0.254	0.023	0.98	-0.25	0.027000000000000003	0.984	-0.246
0.023	0.973	-0.273	0.031	0.977	-0.258	0.047	0.98	-0.254	0.051	0.984	-0.234	0.051	0.988	-0.223
0.04260000000000002	0.969	-0.266	0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.977	-0.262	0.051	0.98	-0.254
0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262
0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262	0.051	0.969	-0.262
0.012	0.965	-0.309	0.023	0.969	-0.289	0.031	0.973	-0.285	0.031	0.973	-0.285	0.031	0.973	-0.281
0.023	0.973	-0.285	0.031	0.973	-0.285	0.031	0.973	-0.285	0.063	0.977	-0.25	0.07	0.98	-0.246
0.031	0.973	-0.277	0.035	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.27	0.039	0.977	-0.266
0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277
0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277
0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277
0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277	0.039	0.973	-0.277
0.07400000000000001	0.969	-0.27	0.08199999999999999	0.969	-0.266	0.086	0.973	-0.262	0.086	0.977	-0.262	0.086	0.977	-0.258
0.086	0.973	-0.262	0.086	0.977	-0.262	0.086	0.977	-0.262	0.09	0.977	-0.246	0.117	0.98	-0.211
0.09	0.973	-0.246	0.09	0.977	-0.246	0.09	0.977	-0.246	0.09	0.977	-0.246	0.09	0.977	-0.246
-0.004	0.926	-0.35200000000000004	0.055	0.934	-0.301	0.305	0.941	-0.172	0.332	0.961	-0.098	0.34	0.973	-0.086
