TenPct_AGthighX	TenPct_AGthighY	TenPct_AGthighZ	TwentyFivePct_AGthighX	TwentyFivePct_AGthighY	TwentyFivePct_AGthighZ	FiftyPct_AGthighX	FiftyPct_AGthighY	FiftyPct_AGthighZ	SeventyFivePct_AGthighX	SeventyFivePct_AGthighY	SeventyFivePct_AGthighZ	NinetyPct_AGthighX	NinetyPct_AGthighY	NinetyPct_AGthighZ
0.211	0.871	-0.227	0.238	0.914	-0.207	0.285	0.941	-0.188	0.328	0.965	-0.18	0.3670000000000001	0.988	-0.16399999999999998
0.156	0.8320000000000001	-0.242	0.191	0.883	-0.219	0.258	0.945	-0.188	0.3670000000000001	0.984	-0.16399999999999998	0.445	1.012	-0.13699999999999998
0.188	0.871	-0.2114	0.219	0.914	-0.16	0.281	0.949	-0.133	0.348	0.977	-0.113	0.406	1.0	-0.07400000000000001
0.188	0.852	-0.156	0.25	0.879	-0.145	0.359	0.922	-0.125	0.441	0.957	-0.109	0.473	1.004	-0.086
0.363	0.875	-0.129	0.3670000000000001	0.906	-0.117	0.371	0.914	-0.117	0.379	0.922	-0.113	0.457	0.926	-0.102
0.223	0.84	-0.211	0.273	0.875	-0.18	0.328	0.918	-0.156	0.42700000000000005	0.961	-0.14	0.48	1.0	-0.098
-0.598	0.813	-0.16	-0.371	0.895	-0.105	0.25	0.93	-0.07400000000000001	0.344	0.953	0.105	0.363	1.0004000000000006	0.203
-0.4344	0.789	-0.35200000000000004	-0.324	0.902	-0.262	-0.242	0.969	-0.168	-0.168	1.023	-0.047	-0.098	1.09	0.059
-0.344	0.7809999999999999	-0.336	-0.27	0.887	-0.277	-0.18	0.98	-0.17600000000000002	-0.102	1.063	-0.055	-0.051	1.145	-0.004
-0.316	0.773	-0.35200000000000004	-0.227	0.871	-0.309	-0.14800000000000002	0.98	-0.195	-0.098	1.074	-0.055	-0.051	1.1909999999999998	0.004
-0.3133	0.762	-0.336	-0.219	0.871	-0.293	-0.13699999999999998	0.98	-0.188	-0.08199999999999999	1.082	-0.047	-0.043	1.219	0.023
-0.328	0.758	-0.34	-0.234	0.8590000000000001	-0.289	-0.145	0.98	-0.16399999999999998	-0.09	1.086	-0.034	-0.047	1.23	0.043
-0.285	0.8196	-0.32	-0.203	0.938	-0.285	-0.152	0.977	-0.223	-0.109	1.02	-0.08199999999999999	-0.07	1.156	0.012
-0.313	0.813	-0.316	-0.234	0.902	-0.258	-0.16399999999999998	0.98	-0.16	-0.109	1.055	-0.031	-0.063	1.148	0.02
-0.316	0.805	-0.35200000000000004	-0.25	0.898	-0.301	-0.184	0.984	-0.184	-0.113	1.0590000000000002	-0.059	-0.066	1.125	0.0
-0.18	0.984	-0.188	-0.141	1.0	-0.13699999999999998	-0.125	1.0	-0.129	-0.117	1.004	-0.121	-0.113	1.012	-0.117
-0.293	0.867	-0.336	-0.223	0.957	-0.246	-0.14800000000000002	1.0	-0.156	-0.113	1.012	-0.121	-0.094	1.082	-0.027000000000000003
-0.297	0.914	-0.281	-0.227	0.969	-0.188	-0.184	0.996	-0.133	-0.145	1.004	-0.07400000000000001	-0.09	1.043	-0.02
-0.242	0.961	-0.219	-0.126	0.992	-0.184	-0.117	1.0	-0.16399999999999998	-0.102	1.004	-0.145	-0.09	1.008	-0.102
-0.223	0.961	-0.2624	-0.184	0.98	-0.219	-0.16399999999999998	0.992	-0.184	-0.125	1.0	-0.145	-0.113	1.016	-0.105
-0.395	0.836	-0.324	-0.328	0.914	-0.238	-0.23	0.973	-0.133	-0.152	1.031	-0.043	-0.08199999999999999	1.105	0.07
-0.7190000000000001	0.594	-0.4920000000000001	-0.617	0.715	-0.387	-0.484	0.855	-0.238	-0.371	0.945	-0.129	-0.297	0.992	-0.066
0.059	0.8440000000000001	-0.156	0.14725000000000002	0.898	-0.141	0.336	0.93	0.0	0.371	0.965	0.133	0.465	1.016	0.17600000000000002
0.262	0.914	-0.117	0.293	0.926	-0.055999999999999994	0.301	0.93	0.141	0.313	0.941	0.16	0.359	0.957	0.17600000000000002
0.285	0.918	0.152	0.297	0.926	0.16	0.301	0.93	0.16399999999999998	0.305	0.934	0.17600000000000002	0.309	0.938	0.188
0.301	0.93	0.168	0.301	0.93	0.168	0.301	0.93	0.168	0.301	0.93	0.168	0.301	0.93	0.168
0.297	0.8909999999999999	0.105	0.301	0.914	0.172	0.301	0.926	0.184	0.336	0.93	0.191	0.375	0.934	0.199
0.195	0.8909999999999999	0.016	0.293	0.918	0.063	0.313	0.938	0.09	0.337	0.957	0.117	0.363	0.992	0.13699999999999998
0.266	0.875	0.094	0.297	0.895	0.125	0.328	0.914	0.16	0.3670000000000001	0.938	0.188	0.402	0.957	0.238
0.2496	0.852	0.078	0.313	0.879	0.117	0.363	0.91	0.152	0.398	0.945	0.18	0.422	0.973	0.199
