Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA19,0.35179808146936875,0.44965832086564406,"[0.41622, 0.97247, 0.0]","[(0.41386, 0.41858), (0.97155, 0.97339), (0.0, 0.0)]","[0.97518, 0.37482, 1.0]","[(0.97436, 0.97599), (0.37262, 0.37701), (1.0, 1.0)]",70000,98180,0,3327,117513,0,143,18817,0
OA74,0.17577270411214618,0.19528320763970108,"[0.22164, 0.9591, 0.0]","[(0.22001, 0.22326), (0.95763, 0.96057), (0.0, 0.0)]","[0.95942, 0.2198, 1.0]","[(0.95798, 0.96086), (0.21819, 0.22141), (1.0, 1.0)]",55799,195961,0,2844,66696,0,78,2382,0
OA78,0.3298795225473208,0.38200170000239714,"[0.45393, 0.9225, 0.0]","[(0.45183, 0.45602), (0.92076, 0.92424), (0.0, 0.0)]","[0.93026, 0.43089, 1.0]","[(0.9287, 0.93181), (0.42886, 0.43292), (1.0, 1.0)]",98484,118476,0,7068,84132,0,121,11759,0
KOA58,0.2878073422613624,0.33296573330764784,"[0.67492, 0.86864, 0.0]","[(0.67312, 0.67671), (0.8646, 0.87269), (0.0, 0.0)]","[0.87135, 0.67227, 1.0]","[(0.86743, 0.87528), (0.67047, 0.67406), (1.0, 1.0)]",176437,84983,0,3523,23297,0,74,1066,0
KOA75,0.2303214980010884,0.24089969451454088,"[0.45482, 0.85236, 0.0]","[(0.45297, 0.45668), (0.84949, 0.85522), (0.0, 0.0)]","[0.85335, 0.45348, 1.0]","[(0.85052, 0.85619), (0.45162, 0.45533), (1.0, 1.0)]",125613,150567,0,8699,50221,0,91,929,0
OA73,0.19720392123263303,0.29789646438812056,"[0.46449, 0.90234, 0.0]","[(0.46213, 0.46686), (0.89936, 0.90532), (0.0, 0.0)]","[0.90454, 0.45839, 1.0]","[(0.90169, 0.90739), (0.45605, 0.46074), (1.0, 1.0)]",79317,91443,0,3721,34379,0,168,2472,0
KOA71,0.5444402332405698,0.5878794603359504,"[0.8543, 0.78115, 0.0]","[(0.85302, 0.85558), (0.77832, 0.78399), (0.0, 0.0)]","[0.78483, 0.84947, 1.0]","[(0.78204, 0.78762), (0.84817, 0.85077), (1.0, 1.0)]",248243,42337,0,17858,63742,0,74,1666,0
KOA70,0.4331254768891837,0.4972325390145753,"[0.51744, 0.95059, 0.0]","[(0.51532, 0.51955), (0.94953, 0.95165), (0.0, 0.0)]","[0.95054, 0.51669, 1.0]","[(0.94948, 0.95161), (0.51457, 0.5188), (1.0, 1.0)]",110742,103278,0,7883,151657,0,25,335,0
OA36,0.2971464232894969,0.3867724178422633,"[0.56922, 0.91337, 0.0]","[(0.56657, 0.57187), (0.91023, 0.9165), (0.0, 0.0)]","[0.91633, 0.56128, 1.0]","[(0.91334, 0.91932), (0.55865, 0.56392), (1.0, 1.0)]",76435,57845,0,2677,28223,0,79,1961,0
OA29,0.3007614791128762,0.3535405639941224,"[0.76393, 0.65267, 0.0]","[(0.75821, 0.76965), (0.63876, 0.66658), (0.0, 0.0)]","[0.66169, 0.75962, 1.0]","[(0.64804, 0.67533), (0.75389, 0.76536), (1.0, 1.0)]",16180,5000,0,1563,2937,0,0,120,0
