Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.328326851310074,0.42825869697117014,"[0.63624, 0.74905, 0.16514]","[(0.62506, 0.64741), (0.73397, 0.76414), (0.11585, 0.21443)]","[0.83097, 0.65876, 0.95229]","[(0.81836, 0.84359), (0.64791, 0.66961), (0.94818, 0.95641)]"
OA10,0.29227491170995923,0.3730671195857049,"[0.5691, 0.33759, 0.88053]","[(0.55657, 0.58162), (0.298, 0.37718), (0.83824, 0.92282)]","[0.86563, 0.67603, 0.86955]","[(0.84161, 0.88966), (0.66441, 0.68765), (0.86139, 0.8777)]"
HOA47,-0.19322373180833718,-0.08758812396545491,"[0.25155, 0.61615, 0.01752]","[(0.2426, 0.2605), (0.60194, 0.63037), (0.00808, 0.02696)]","[0.85504, 0.62825, 0.64354]","[(0.84551, 0.86458), (0.61867, 0.63783), (0.63547, 0.65162)]"
HOA17,0.1901846992832158,0.16224717194058794,"[0.66285, 0.16986, 0.34737]","[(0.65154, 0.67415), (0.15785, 0.18187), (0.27967, 0.41507)]","[0.44197, 0.73263, 0.8608]","[(0.42647, 0.45746), (0.72219, 0.74307), (0.85417, 0.86743)]"
KOA71,0.18943701790901585,0.3271783321555936,"[0.61945, 0.65956, 0.2931]","[(0.60978, 0.62912), (0.64175, 0.67737), (0.17596, 0.41025)]","[0.82253, 0.73378, 0.87377]","[(0.80833, 0.83674), (0.72501, 0.74256), (0.86793, 0.87961)]"
OA25,0.19483858728710515,0.04491771038876424,"[0.55505, 0.26814, 0.53571]","[(0.54005, 0.57006), (0.24231, 0.29397), (0.35098, 0.72044)]","[0.44473, 0.61363, 0.91897]","[(0.41611, 0.47335), (0.59897, 0.62828), (0.91166, 0.92629)]"
HOA20,0.01716734483960973,0.08504430173307254,"[0.38811, 0.73274, 0.1375]","[(0.37533, 0.40089), (0.7129, 0.75258), (0.06204, 0.21296)]","[0.82882, 0.59619, 0.81742]","[(0.81227, 0.84536), (0.58341, 0.60896), (0.80867, 0.82616)]"
OA40,0.26509738000115113,0.3165213221243111,"[0.46396, 0.29831, 0.20565]","[(0.45303, 0.4749), (0.28276, 0.31387), (0.15534, 0.25595)]","[0.78711, 0.62573, 0.73767]","[(0.77369, 0.80054), (0.61528, 0.63618), (0.72956, 0.74578)]"
OA73,0.27305069467537557,0.3142126548718404,"[0.46978, 0.45039, 0.48864]","[(0.45682, 0.48275), (0.42303, 0.47776), (0.38419, 0.59308)]","[0.88071, 0.64291, 0.77952]","[(0.86347, 0.89795), (0.63055, 0.65526), (0.76978, 0.78926)]"
HOA10,0.10903825812506551,0.13861746112202378,"[0.59204, 0.46932, 0.71429]","[(0.58144, 0.60265), (0.44115, 0.49749), (0.47764, 0.95093)]","[0.61148, 0.67954, 0.90616]","[(0.58412, 0.63883), (0.66948, 0.6896), (0.90028, 0.91204)]"
