Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.13407352787973598,0.1750319455194483,"[0.18006, 0.47825, 0.38532]","[(0.17113, 0.18898), (0.46086, 0.49563), (0.32072, 0.44993)]","[0.8295, 0.32911, 0.79343]","[(0.81684, 0.84216), (0.31836, 0.33986), (0.78561, 0.80125)]"
OA10,0.25980684148567745,0.34697153129419117,"[0.60157, 0.35766, 0.54425]","[(0.58918, 0.61395), (0.31753, 0.3978), (0.47931, 0.60918)]","[0.86047, 0.70972, 0.85795]","[(0.83605, 0.88488), (0.69845, 0.72099), (0.8495, 0.8664)]"
HOA47,0.04721874863382772,0.05897680951277153,"[0.29021, 0.41722, 0.27898]","[(0.28085, 0.29957), (0.40281, 0.43164), (0.2467, 0.31125)]","[0.69977, 0.47257, 0.79019]","[(0.68736, 0.71219), (0.46267, 0.48247), (0.78333, 0.79706)]"
HOA17,0.21415336099002216,0.14336307750570929,"[0.43852, 0.29872, 0.84211]","[(0.42666, 0.45039), (0.28408, 0.31336), (0.79026, 0.89395)]","[0.7111, 0.7736, 0.64369]","[(0.69696, 0.72524), (0.76373, 0.78346), (0.63452, 0.65286)]"
KOA71,0.35216399981916613,0.33770229851473477,"[0.42732, 0.42279, 0.63793]","[(0.41747, 0.43717), (0.40423, 0.44136), (0.51424, 0.76162)]","[0.85529, 0.54464, 0.81469]","[(0.84221, 0.86837), (0.53475, 0.55453), (0.80785, 0.82152)]"
OA25,0.18500064926437249,0.27495672587532916,"[0.31134, 0.28407, 0.53571]","[(0.29736, 0.32532), (0.25778, 0.31037), (0.35098, 0.72044)]","[0.9076, 0.62282, 0.62257]","[(0.89092, 0.92428), (0.60823, 0.63741), (0.60957, 0.63556)]"
HOA20,0.1537273476190251,0.15520151525846754,"[0.11404, 0.48588, 0.3875]","[(0.1057, 0.12237), (0.46348, 0.50828), (0.28074, 0.49426)]","[0.86898, 0.28945, 0.77407]","[(0.85416, 0.88379), (0.27764, 0.30125), (0.76461, 0.78354)]"
OA40,0.13202602137105426,0.24636163719363302,"[0.31294, 0.29561, 0.35887]","[(0.30277, 0.3231), (0.28009, 0.31112), (0.29917, 0.41857)]","[0.83109, 0.57184, 0.65892]","[(0.8188, 0.84338), (0.56116, 0.58253), (0.65018, 0.66765)]"
OA73,0.11299818810634751,0.15869770130004798,"[0.34891, 0.40394, 0.40909]","[(0.33653, 0.36129), (0.37695, 0.43092), (0.30636, 0.51182)]","[0.76657, 0.53131, 0.78612]","[(0.74407, 0.78907), (0.51845, 0.54418), (0.77649, 0.79576)]"
HOA10,-0.011128112031284092,-0.005061888816186322,"[0.2098, 0.43035, 0.35714]","[(0.20101, 0.21859), (0.4024, 0.45829), (0.10614, 0.60814)]","[0.81639, 0.62615, 0.58739]","[(0.79467, 0.83812), (0.61572, 0.63658), (0.57746, 0.59731)]"
OA42,0.1430548402955928,0.21174668621738746,"[0.23687, 0.4758, 0.375]","[(0.22666, 0.24708), (0.45545, 0.49615), (0.27385, 0.47615)]","[0.85803, 0.40193, 0.78008]","[(0.84408, 0.87199), (0.39023, 0.41362), (0.77151, 0.78865)]"
KOA44,0.2055676680179857,0.24006498718478528,"[0.51602, 0.40049, 0.16901]","[(0.50554, 0.5265), (0.38109, 0.41988), (0.10737, 0.23066)]","[0.71897, 0.63116, 0.83801]","[(0.70167, 0.73627), (0.62113, 0.6412), (0.83118, 0.84484)]"
HOA34,0.17645212637796173,0.17944498385329177,"[0.19149, 0.39636, 0.46429]","[(0.18363, 0.19936), (0.36939, 0.42333), (0.27956, 0.64902)]","[0.82353, 0.30668, 0.84942]","[(0.80274, 0.84432), (0.29748, 0.31588), (0.8427, 0.85614)]"
HOA5,0.20667350920485195,0.14351419925630338,"[0.46949, 0.35811, 0.5]","[(0.46008, 0.4789), (0.32356, 0.39265), (0.15352, 0.84648)]","[0.73797, 0.60421, 0.84969]","[(0.70645, 0.76948), (0.595, 0.61343), (0.84317, 0.8562)]"
KOA45,0.017835784930221116,0.05299534189779318,"[0.35292, 0.38363, 0.45238]","[(0.34378, 0.36207), (0.36114, 0.40612), (0.30185, 0.60291)]","[0.63058, 0.46129, 0.87262]","[(0.60851, 0.65264), (0.45177, 0.47081), (0.86673, 0.87851)]"
OA61,0.1280747780341389,0.18274022123128933,"[0.26737, 0.29882, 0.41803]","[(0.25532, 0.27943), (0.28382, 0.31383), (0.33051, 0.50556)]","[0.80492, 0.56394, 0.61857]","[(0.79215, 0.8177), (0.55059, 0.57729), (0.6084, 0.62875)]"
KOA57,0.0308646477513571,0.17297203542613165,"[0.39806, 0.28992, 0.375]","[(0.3873, 0.40882), (0.27684, 0.303), (0.13778, 0.61222)]","[0.74623, 0.69781, 0.64258]","[(0.7337, 0.75875), (0.68773, 0.7079), (0.63421, 0.65096)]"
KOA70,0.2539634036610473,0.33311646027022285,"[0.58298, 0.32569, 0.41667]","[(0.57154, 0.59442), (0.31309, 0.33828), (0.13772, 0.69561)]","[0.71126, 0.71467, 0.75988]","[(0.69909, 0.72342), (0.7042, 0.72514), (0.75238, 0.76738)]"
HOA12,0.19642955311122315,0.2521043947842956,"[0.34672, 0.19988, 0.55714]","[(0.33629, 0.35716), (0.18648, 0.21328), (0.48996, 0.62433)]","[0.8951, 0.792, 0.4774]","[(0.88513, 0.90506), (0.78322, 0.80079), (0.46823, 0.48656)]"
OA51,0.07878751366948825,0.1555266568800214,"[0.31583, 0.3, 0.4]","[(0.29766, 0.334), (0.2645, 0.3355), (0.09636, 0.70364)]","[0.90769, 0.79556, 0.49334]","[(0.88544, 0.92995), (0.77983, 0.8113), (0.47589, 0.51079)]"
HOA24,0.0013976353927232996,-0.015633283219883425,"[0.37659, 0.2, 0.47222]","[(0.36705, 0.38612), (0.17834, 0.22166), (0.30914, 0.6353)]","[0.4688, 0.46333, 0.89375]","[(0.44214, 0.49546), (0.45354, 0.47313), (0.88805, 0.89945)]"
HOA42,0.07451799719826115,0.08102520752574452,"[0.22235, 0.35197, 0.6]","[(0.21399, 0.23071), (0.32098, 0.38297), (0.47604, 0.72396)]","[0.71193, 0.34611, 0.85869]","[(0.68346, 0.7404), (0.33658, 0.35564), (0.852, 0.86538)]"
HOA43,0.28587700597507454,0.363483228707571,"[0.40056, 0.23044, 0.71505]","[(0.39038, 0.41075), (0.21541, 0.24547), (0.6776, 0.75251)]","[0.88444, 0.683, 0.63035]","[(0.87396, 0.89492), (0.67362, 0.69238), (0.62168, 0.63903)]"
KOA31,0.26321134199794116,0.3255483244333068,"[0.39036, 0.20008, 0.79487]","[(0.38051, 0.40021), (0.1848, 0.21535), (0.70526, 0.88448)]","[0.86136, 0.66168, 0.64524]","[(0.84835, 0.87436), (0.65217, 0.6712), (0.6367, 0.65378)]"
KOA1,0.22416299345928103,0.2084721111451379,"[0.4023, 0.43826, nan]","[(0.39297, 0.41164), (0.40958, 0.46694), (nan, nan)]","[0.83652, 0.52879, 0.8469]","[(0.81515, 0.8579), (0.51928, 0.5383), (0.84039, 0.85341)]"
HOA29,0.2197199322861138,0.2500246553179575,"[0.54744, 0.24733, 0.60417]","[(0.53882, 0.55607), (0.21641, 0.27825), (0.46582, 0.74251)]","[0.84673, 0.67754, 0.84426]","[(0.82171, 0.87176), (0.66946, 0.68563), (0.83815, 0.85037)]"
