Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.15622827215819043,0.1030623884430327,"[0.18862, 0.09111, 0.86239]","[(0.17954, 0.19771), (0.0811, 0.10112), (0.81665, 0.90812)]","[0.87906, 0.88321, 0.27876]","[(0.86808, 0.89003), (0.87586, 0.89056), (0.2701, 0.28742)]"
OA10,0.0382914084509975,0.14315226162523392,"[0.23976, 0.15693, 0.85398]","[(0.22896, 0.25056), (0.12648, 0.18739), (0.80794, 0.90002)]","[0.9199, 0.81595, 0.41227]","[(0.90077, 0.93902), (0.80633, 0.82557), (0.40035, 0.42418)]"
HOA47,0.32632538870005356,0.20927556225554486,"[0.32111, 0.12061, 0.83019]","[(0.31148, 0.33074), (0.11108, 0.13013), (0.80317, 0.8572)]","[0.83384, 0.84156, 0.42398]","[(0.82376, 0.84392), (0.83431, 0.8488), (0.41565, 0.43231)]"
HOA17,-0.014378267946678583,-0.05654126585666496,"[0.03319, 0.1025, 0.97368]","[(0.02891, 0.03748), (0.0928, 0.1122), (0.95092, 0.99645)]","[0.96503, 0.94181, 0.10913]","[(0.9593, 0.97076), (0.93629, 0.94733), (0.10316, 0.1151)]"
KOA71,-0.05563208781192131,-0.02356643033411913,"[0.12059, 0.18824, 0.7931]","[(0.1141, 0.12707), (0.17354, 0.20293), (0.68885, 0.89736)]","[0.85889, 0.81578, 0.31074]","[(0.84595, 0.87184), (0.80809, 0.82348), (0.30259, 0.31888)]"
OA25,,0.04372189088330058,"[0.15804, 0.1646, 0.85714]","[(0.14703, 0.16906), (0.14298, 0.18622), (0.72753, 0.98676)]","[0.88515, 0.83734, 0.31269]","[(0.86678, 0.90351), (0.82623, 0.84845), (0.30026, 0.32512)]"
HOA20,0.21773247693341852,0.17365439695056617,"[0.27963, 0.10356, 0.8875]","[(0.26786, 0.2914), (0.0899, 0.11721), (0.81826, 0.95674)]","[0.8745, 0.87275, 0.36303]","[(0.85995, 0.88905), (0.86407, 0.88143), (0.35215, 0.37391)]"
OA40,0.04019418121152939,0.0023768371161281415,"[0.10973, 0.14088, 0.94758]","[(0.10288, 0.11659), (0.12905, 0.15271), (0.91984, 0.97532)]","[0.88263, 0.8642, 0.25367]","[(0.87207, 0.89319), (0.8568, 0.8716), (0.24565, 0.26169)]"
OA73,0.08039077126733295,0.08021613509443894,"[0.15654, 0.1063, 0.80682]","[(0.1471, 0.16598), (0.08935, 0.12325), (0.72433, 0.88931)]","[0.91016, 0.87284, 0.26803]","[(0.89495, 0.92537), (0.86425, 0.88143), (0.25762, 0.27843)]"
HOA10,0.030163111656477472,-0.020186745107634095,"[0.08574, 0.12106, 0.92857]","[(0.0797, 0.09178), (0.10265, 0.13947), (0.79366, 1.06348)]","[0.91393, 0.90508, 0.18419]","[(0.8982, 0.92967), (0.89876, 0.91141), (0.17638, 0.19201)]"
OA42,-0.00654133967266992,-0.11261140363955494,"[0.16482, 0.16206, 0.98864]","[(0.15591, 0.17372), (0.14704, 0.17707), (0.96649, 1.01078)]","[0.76395, 0.89956, 0.3027]","[(0.74696, 0.78093), (0.89238, 0.90673), (0.29319, 0.3122)]"
KOA44,,-0.06127191736834859,"[0.2127, 0.12276, 0.73944]","[(0.20412, 0.22128), (0.10977, 0.13575), (0.66724, 0.81163)]","[0.72822, 0.88786, 0.34167]","[(0.7111, 0.74534), (0.8813, 0.89443), (0.33289, 0.35046)]"
HOA34,0.03675665449983015,-0.06658424545863136,"[0.18494, 0.14794, 0.85714]","[(0.17718, 0.1927), (0.12837, 0.16752), (0.72753, 0.98676)]","[0.68885, 0.79486, 0.39906]","[(0.66361, 0.7141), (0.7868, 0.80292), (0.38986, 0.40827)]"
HOA5,0.07283265169369489,0.04792903143909571,"[0.11418, 0.12838, 0.5]","[(0.10819, 0.12018), (0.10428, 0.15248), (0.15352, 0.84648)]","[0.92513, 0.81846, 0.28963]","[(0.90627, 0.94399), (0.8112, 0.82572), (0.28136, 0.2979)]"
KOA45,,0.10441730490080409,"[0.25433, 0.11414, 0.95238]","[(0.246, 0.26266), (0.09944, 0.12885), (0.88797, 1.01679)]","[0.83732, 0.83444, 0.39995]","[(0.82045, 0.8542), (0.82734, 0.84154), (0.39129, 0.40861)]"
OA61,0.23037243143197633,0.21114980286813279,"[0.2112, 0.14466, 0.90164]","[(0.20008, 0.22231), (0.13312, 0.15619), (0.84879, 0.95448)]","[0.90828, 0.78386, 0.3523]","[(0.89897, 0.91758), (0.77278, 0.79493), (0.34229, 0.3623)]"
KOA57,0.2206750959144395,0.29707485961261,"[0.30858, 0.20467, 0.875]","[(0.29843, 0.31874), (0.19304, 0.21631), (0.71295, 1.03705)]","[0.93316, 0.76639, 0.44287]","[(0.92597, 0.94035), (0.7571, 0.77568), (0.43419, 0.45156)]"
KOA70,0.011354756108591303,-0.07068371679875325,"[0.16204, 0.22226, 0.83333]","[(0.15349, 0.17059), (0.21109, 0.23344), (0.62247, 1.0442)]","[0.80019, 0.8101, 0.38211]","[(0.78945, 0.81092), (0.80101, 0.8192), (0.37357, 0.39064)]"
HOA12,0.004658817477049188,-0.09302543735143998,"[0.23824, 0.14056, 0.58095]","[(0.2289, 0.24758), (0.12892, 0.15221), (0.51422, 0.64769)]","[0.67924, 0.86759, 0.39846]","[(0.66406, 0.69442), (0.86026, 0.87493), (0.38948, 0.40744)]"
OA51,0.35379367733084466,0.13122393114598044,"[0.12729, 0.03281, 0.8]","[(0.11426, 0.14032), (0.01901, 0.04661), (0.55208, 1.04792)]","[0.96, 0.92948, 0.17216]","[(0.94494, 0.97506), (0.91949, 0.93947), (0.15899, 0.18534)]"
HOA24,0.12289377069721492,0.13167831904964894,"[0.26921, 0.14504, 0.77778]","[(0.26048, 0.27794), (0.12597, 0.16411), (0.64197, 0.91359)]","[0.86107, 0.78099, 0.46482]","[(0.84259, 0.87955), (0.77287, 0.78912), (0.45559, 0.47405)]"
HOA42,0.19608925021380336,0.13081427226543735,"[0.27344, 0.08991, 0.85]","[(0.26449, 0.2824), (0.07135, 0.10848), (0.75965, 0.94035)]","[0.86831, 0.82041, 0.43371]","[(0.84705, 0.88957), (0.81272, 0.8281), (0.4242, 0.44322)]"
HOA43,0.1836235253673295,0.1207391536801181,"[0.19663, 0.10279, 0.88351]","[(0.18836, 0.20489), (0.09195, 0.11362), (0.85689, 0.91013)]","[0.9211, 0.92157, 0.25332]","[(0.91226, 0.92994), (0.91615, 0.92699), (0.24551, 0.26113)]"
KOA31,0.00469773977836341,0.0712595327837238,"[0.18712, 0.15983, 0.83333]","[(0.17924, 0.19499), (0.14584, 0.17383), (0.75063, 0.91604)]","[0.89712, 0.86011, 0.31345]","[(0.88569, 0.90856), (0.85313, 0.86708), (0.30517, 0.32173)]"
KOA1,0.02171256982990051,-0.010833894130220135,"[0.11167, 0.09304, nan]","[(0.10567, 0.11766), (0.07625, 0.10983), (nan, nan)]","[0.84087, 0.86417, 0.24796]","[(0.81973, 0.86201), (0.85764, 0.87069), (0.24015, 0.25577)]"
HOA29,0.18076599989363137,0.08367189216290348,"[0.15789, 0.06417, 0.875]","[(0.15157, 0.1642), (0.04661, 0.08173), (0.78144, 0.96856)]","[0.95729, 0.89885, 0.2507]","[(0.94324, 0.97133), (0.89363, 0.90406), (0.2434, 0.258)]"
KOA66,-0.1629997051428494,-0.18413826475002704,"[0.09184, 0.21662, 0.69408]","[(0.08605, 0.09764), (0.19892, 0.23431), (0.64228, 0.74588)]","[0.79464, 0.87696, 0.25258]","[(0.77843, 0.81084), (0.87047, 0.88345), (0.24468, 0.26048)]"
KOA41,0.03834225769452848,0.016650070796141777,"[0.17974, 0.10563, 0.83333]","[(0.17277, 0.18671), (0.05508, 0.15619), (0.53513, 1.13154)]","[0.88514, 0.89599, 0.28301]","[(0.83376, 0.93651), (0.89045, 0.90153), (0.27489, 0.29114)]"
