Participant	OC_METs	TimeSec	Mean_APthighX	Mean_APthighY	Mean_APthighZ	Var_APthighX	Var_APthighY	Var_APthighZ
1	10	100	0.05951452188565508	-0.8958723082434432	0.6182780718863216	6.095591978409657e-05	0.0	0.0
1	10	100	0.05267981530868045	-0.9166393013042502	0.6083151726837337	0.0002418080582423711	0.0005406598490116354	0.0004309213352206194
1	10	100	0.06624407913067623	-0.8958723082434432	0.6340504716793407	0.0	0.0	0.0
1	10	100	0.06624407913067623	-0.8958723082434432	0.6340504716793407	0.0	0.0	0.0
1	10	100	0.06235355384839775	-0.8825183430853578	0.6540814194164732	4.6303906362156315e-05	0.00024332531133292997	0.0005474819504990958
1	10	100	0.06345762183390972	-0.8958723082434432	0.6210645291830883	3.624518286217351e-05	0.0	3.624518286217457e-05
1	10	100	0.047106900715147296	-0.9219756299008752	0.5832370570128312	0.0002154167143387557	0.0004948729992455738	0.0017673444369987648
1	10	100	0.007912487229496777	-0.8822817570884539	0.011303553184995036	0.0018158854610565	0.002496622656072752	0.2658185191826784
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.454245114038934	0.0	0.0	0.0
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.4489087854422901	0.0	0.0	5.5783277290610874e-05
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.44514969682495775	0.0	0.0	6.0831327833231984e-05
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.4419689295333621	0.0	0.0	4.299183700161429e-05
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.454245114038934	0.0	0.0	0.0
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.4408911488808371	0.0	0.0	3.234960786507071e-05
1	10	100	-0.01261791983441564	-0.8800999084504169	-0.4434935948466832	0.0	0.0	5.407221449870464e-05
1	10	100	-0.004179685945150875	-0.8762882451671036	-0.35953185328185805	0.0012937898127240244	0.0015814698585655507	0.0983217317969744
1	10	100	0.15075785468826605	-0.7819430070718671	0.7513445514734146	0.0019976069744608127	0.007504618963023271	0.02372213855373635
1	10	100	0.08154330692990325	-0.9313602077777308	0.5615762946304116	0.0004059454943143605	0.0018333705570056493	0.004713141149094102
1	10	100	0.07063406373973227	-0.9321225404343828	0.5595784573233009	5.0052047550737234e-05	5.21618045854129e-05	5.0052047550739084e-05
1	10	100	0.06866251376560573	-0.927417107829468	0.5642838899282211	3.234960786507203e-05	0.0	6.083132783323025e-05
1	10	100	0.0727896250447789	-0.927417107829468	0.5684110012073927	6.04956217433979e-05	0.0	3.3772032637467044e-05
1	10	100	0.06624407913067623	-0.927417107829468	0.5668337612280941	0.0	0.0	4.814163763744513e-05
1	10	100	0.08022894028048473	-0.9253929831893636	0.5799774277222773	2.5040213414217028e-05	6.774410457382934e-05	0.0001490611178395956
1	10	100	0.0820164789236934	-0.9116447080364626	0.59054493558359	0.0	0.0	4.5666410880223446e-05
1	10	100	0.0820164789236934	-0.9116447080364626	0.5895985915960189	0.0	0.0	3.7044647880236154e-05
1	10	100	0.08004492894956655	-0.9116447080364626	0.5934102548793224	2.725448925212292e-05	0.0	6.083132783322801e-05
1	10	100	0.07731104631877643	-0.9227116752245498	0.5867332723002867	5.2161804585415e-05	5.216180458541169e-05	0.0
1	10	100	0.0820164789236934	-0.9139842806724268	0.5867332723002867	0.0	3.1479540741517076e-05	0.0
1	10	100	0.08143815759794942	-0.9286000378139438	0.5591578599954875	8.801729151237958e-06	9.204230370288349e-05	0.0007803602267518497
