Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.29896103908715504,0.2764792459343829,"[0.47649, 0.39405, 0.79433]","[(0.46776, 0.48521), (0.3776, 0.41049), (0.75581, 0.83285)]","[0.81761, 0.70863, 0.73431]","[(0.80536, 0.82986), (0.70082, 0.71644), (0.72746, 0.74116)]"
OA51,0.11805687208075304,0.15739446917898112,"[0.75158, 0.44785, nan]","[(0.73614, 0.76702), (0.37151, 0.52419), (nan, nan)]","[0.56442, 0.80146, 0.94669]","[(0.4883, 0.64054), (0.78721, 0.81572), (0.93887, 0.95451)]"
OA24,0.26532172892285266,0.29184947075398404,"[0.67302, 0.53445, 0.23529]","[(0.66193, 0.68411), (0.51093, 0.55798), (0.17937, 0.29122)]","[0.67094, 0.72762, 0.92476]","[(0.65008, 0.69181), (0.71726, 0.73798), (0.91918, 0.93033)]"
OA22,0.2970755889337208,0.3260134039514798,"[0.57434, 0.54595, 0.69358]","[(0.56533, 0.58335), (0.526, 0.56589), (0.66353, 0.72364)]","[0.78896, 0.72715, 0.84322]","[(0.77504, 0.80289), (0.71933, 0.73497), (0.83719, 0.84925)]"
KOA61,0.02288599433242814,0.05407384335772332,"[0.62703, 0.64844, nan]","[(0.61853, 0.63552), (0.56572, 0.73115), (nan, nan)]","[0.71094, 0.75863, 0.8691]","[(0.6324, 0.78947), (0.75112, 0.76615), (0.86321, 0.87499)]"
OA62,0.26902050844970804,0.3562289593220975,"[0.55129, 0.43563, 0.5082]","[(0.53748, 0.56511), (0.40445, 0.46682), (0.41948, 0.59691)]","[0.9021, 0.74211, 0.76142]","[(0.88449, 0.91972), (0.73011, 0.75412), (0.7506, 0.77225)]"
KOA53,0.06350316680330041,0.07986906855034327,"[0.31158, 0.63362, 0.49219]","[(0.30326, 0.3199), (0.60703, 0.66022), (0.40558, 0.5788)]","[0.91577, 0.63282, 0.68196]","[(0.90116, 0.93037), (0.62421, 0.64143), (0.674, 0.68991)]"
HOA46,0.12265503247850695,0.11464428512352962,"[0.78371, 0.27907, 1.0]","[(0.77563, 0.79179), (0.18427, 0.37387), (1.0, 1.0)]","[0.68132, 0.85721, 0.92391]","[(0.58558, 0.77706), (0.85035, 0.86408), (0.91873, 0.92909)]"
KOA29,0.1942769134647833,0.16485650283897396,"[0.63323, 0.5429, 0.83333]","[(0.62339, 0.64308), (0.5214, 0.5644), (0.53513, 1.13154)]","[0.60899, 0.72024, 0.91709]","[(0.58796, 0.63002), (0.71107, 0.72941), (0.912, 0.92218)]"
OA33,0.22703203540405087,0.29391773161711704,"[0.54483, 0.48203, 0.41212]","[(0.53385, 0.55582), (0.46586, 0.49819), (0.33702, 0.48723)]","[0.77717, 0.70215, 0.79798]","[(0.764, 0.79034), (0.69216, 0.71213), (0.79066, 0.80529)]"
OA72,0.06908339434788693,0.1096566455649941,"[0.55244, 0.6461, 0.15]","[(0.54201, 0.56287), (0.60617, 0.68603), (-0.00649, 0.30649)]","[0.74256, 0.68974, 0.86451]","[(0.70669, 0.77842), (0.68005, 0.69943), (0.85755, 0.87147)]"
HOA37,0.215958159952832,0.2277331014180333,"[0.53238, 0.62971, 0.40898]","[(0.52246, 0.5423), (0.60978, 0.64964), (0.36086, 0.4571)]","[0.74209, 0.61123, 0.91669]","[(0.72546, 0.75873), (0.60173, 0.62073), (0.91174, 0.92165)]"
KOA8,0.1643426309708108,0.23882144145334286,"[0.7188, 0.5979, 0.30159]","[(0.71066, 0.72694), (0.56306, 0.63273), (0.18826, 0.41492)]","[0.75364, 0.80436, 0.90886]","[(0.72422, 0.78306), (0.7972, 0.81153), (0.90381, 0.91391)]"
OA49,0.020901607154609366,0.011442893599311929,"[0.89231, 0.04878, nan]","[(0.88317, 0.90146), (0.01071, 0.08685), (nan, nan)]","[0.13008, 0.96327, 0.92876]","[(0.07063, 0.18953), (0.95772, 0.96882), (0.92127, 0.93625)]"
KOA20,0.09488115502906477,0.12630702243363878,"[0.61872, 0.87391, 0.625]","[(0.61004, 0.62739), (0.83101, 0.91681), (0.28952, 0.96048)]","[0.90336, 0.71201, 0.90791]","[(0.86582, 0.9409), (0.70392, 0.72009), (0.9028, 0.91303)]"
OA44,0.19867780947271607,0.23304104281131255,"[0.56936, 0.20441, 0.78571]","[(0.55878, 0.57994), (0.18139, 0.22743), (0.57077, 1.00066)]","[0.73847, 0.79803, 0.73415]","[(0.71354, 0.76341), (0.78946, 0.8066), (0.72531, 0.74299)]"
KOA50,0.15774481299280826,0.12423950956201298,"[0.5727, 0.27757, 1.0]","[(0.5631, 0.58231), (0.22345, 0.33169), (1.0, 1.0)]","[0.77941, 0.78786, 0.778]","[(0.73013, 0.82869), (0.77993, 0.7958), (0.77003, 0.78597)]"
KOA21,0.19392400822663786,0.1687130978741968,"[0.42703, 0.54401, 0.71293]","[(0.41664, 0.43742), (0.51574, 0.57227), (0.66313, 0.76274)]","[0.78675, 0.62113, 0.8098]","[(0.7661, 0.80741), (0.61112, 0.63114), (0.80207, 0.81754)]"
OA25,0.09293903642364995,0.1484518205005578,"[0.63911, 0.46228, 0.30769]","[(0.62482, 0.65339), (0.43021, 0.49436), (0.0568, 0.55859)]","[0.58767, 0.76992, 0.87002]","[(0.55622, 0.61912), (0.75742, 0.78242), (0.86094, 0.8791)]"
KOA67,0.1226911629143464,0.19744309410813168,"[0.53402, 0.69398, 0.24324]","[(0.5246, 0.54344), (0.67759, 0.71036), (0.105, 0.38149)]","[0.74512, 0.61249, 0.92724]","[(0.72972, 0.76052), (0.6033, 0.62167), (0.92291, 0.93157)]"
OA10,0.16448602697293938,0.20893571066614225,"[0.74782, 0.38815, 0.20952]","[(0.73692, 0.75873), (0.35762, 0.41868), (0.13168, 0.28737)]","[0.54889, 0.86653, 0.87242]","[(0.51927, 0.57852), (0.85806, 0.87499), (0.86464, 0.8802)]"
HOA1,0.21242103845770932,0.20741884340074543,"[0.8014, 0.39837, 0.22222]","[(0.79409, 0.8087), (0.37095, 0.42578), (0.03016, 0.41428)]","[0.50362, 0.86275, 0.9342]","[(0.47582, 0.53142), (0.85645, 0.86905), (0.92988, 0.93852)]"
