Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA48,-0.07887888861082015,-0.07925914582235657,"[0.20623, 0.56845]","[(0.19989, 0.21257), (0.51549, 0.62141)]","[0.56845, 0.20623]","[(0.51549, 0.62141), (0.19989, 0.21257)]"
OA60,-0.09500107462300253,-0.20254134899585471,"[0.38945, 0.30514, 0.00562]","[(0.38438, 0.39452), (0.29185, 0.31843), (-0.00072, 0.01196)]","[0.30787, 0.39421, 0.9995]","[(0.29526, 0.32049), (0.38917, 0.39926), (0.99928, 0.99972)]"
OA5,-0.022199587455384313,-0.06617257085716201,"[0.49185, 0.40021, 0.0]","[(0.48768, 0.49602), (0.38854, 0.41187), (0.0, 0.0)]","[0.40466, 0.49247, 0.99989]","[(0.39343, 0.4159), (0.48832, 0.49662), (0.9998, 0.99997)]"
KOA38,-0.32170499325393853,-0.3656463271369177,"[0.3572, 0.20248, 0.0]","[(0.35303, 0.36138), (0.19598, 0.20898), (0.0, 0.0)]","[0.20735, 0.35834, 1.0]","[(0.20085, 0.21384), (0.35417, 0.36251), (1.0, 1.0)]"
HOA7,0.02470367902168465,-0.05020378525526173,"[0.61368, 0.25297, 0.0]","[(0.60996, 0.61739), (0.23602, 0.26992), (0.0, 0.0)]","[0.25779, 0.61357, 1.0]","[(0.24087, 0.27471), (0.60986, 0.61729), (1.0, 1.0)]"
HOA35,0.012992992846689535,-0.1055041036925112,"[0.54291, 0.30325, 0.03868]","[(0.53862, 0.5472), (0.29626, 0.31024), (0.03042, 0.04694)]","[0.32847, 0.55436, 0.98998]","[(0.32174, 0.3352), (0.55016, 0.55855), (0.98923, 0.99072)]"
HOA20,-0.15197509153627192,-0.1728074911925272,"[0.64071, 0.10582, 0.0]","[(0.63603, 0.6454), (0.09716, 0.11448), (0.0, 0.0)]","[0.10421, 0.64324, 1.0]","[(0.09593, 0.1125), (0.63858, 0.64789), (1.0, 1.0)]"
HOA4,-0.036210942401694354,-0.08155666752019747,"[0.31443, 0.36925, 0.0]","[(0.3108, 0.31807), (0.33756, 0.40094), (0.0, 0.0)]","[0.36434, 0.31456, 1.0]","[(0.33295, 0.39573), (0.31093, 0.3182), (1.0, 1.0)]"
HOA47,0.24535901890833423,0.07526704306597437,"[0.35593, 0.41243, 0.31852]","[(0.35234, 0.35952), (0.40367, 0.4212), (0.30802, 0.32902)]","[0.60623, 0.41808, 0.94568]","[(0.5994, 0.61306), (0.41457, 0.42159), (0.94412, 0.94725)]"
OA23,0.21459637206908547,0.02449913899319529,"[0.68479, 0.16081, 0.00018]","[(0.68141, 0.68816), (0.15449, 0.16713), (-0.00017, 0.00052)]","[0.31597, 0.65913, 0.99998]","[(0.3093, 0.32264), (0.65581, 0.66244), (0.99994, 1.00001)]"
OA31,-0.025364306802016033,-0.10342986945792591,"[0.40412, 0.43502, 0.0]","[(0.40043, 0.40781), (0.42412, 0.44591), (0.0, 0.0)]","[0.43164, 0.40517, 1.0]","[(0.42094, 0.44235), (0.40149, 0.40885), (1.0, 1.0)]"
OA12,0.14761964401588326,0.1432582661664276,"[0.76043, 0.45502, 0.10056]","[(0.75688, 0.76398), (0.43378, 0.47626), (0.07512, 0.126)]","[0.52548, 0.76298, 0.99322]","[(0.50647, 0.5445), (0.75946, 0.7665), (0.99255, 0.99389)]"
OA82,-0.028120424254651784,-0.018422578232270004,"[0.91577, 0.06061, 0.0]","[(0.91188, 0.91967), (0.04549, 0.07572), (0.0, 0.0)]","[0.06023, 0.9161, 0.99971]","[(0.0452, 0.07525), (0.91222, 0.91999), (0.99947, 0.99994)]"
OA76,-0.017284191210219096,-0.10918704747929292,"[0.57196, 0.22585, 0.0]","[(0.56563, 0.5783), (0.21216, 0.23955), (0.0, 0.0)]","[0.27118, 0.56903, 1.0]","[(0.25768, 0.28468), (0.56276, 0.57529), (1.0, 1.0)]"
OA86,0.07109529689675916,-0.06894984262451508,"[0.60112, 0.24379, 0.03052]","[(0.59743, 0.6048), (0.23666, 0.25092), (0.02434, 0.03669)]","[0.30075, 0.59641, 0.99907]","[(0.29383, 0.30766), (0.5928, 0.60002), (0.99886, 0.99928)]"
OA75,0.14407462141311836,-0.05912137827168854,"[0.56314, 0.27244, 0.0376]","[(0.55868, 0.56761), (0.26083, 0.28405), (0.02572, 0.04949)]","[0.3359, 0.56004, 0.99864]","[(0.32453, 0.34726), (0.55562, 0.56447), (0.99833, 0.99896)]"
KOA25,0.015526185713068989,-0.04389021524188666,"[0.60398, 0.30978, 0.0]","[(0.59974, 0.60822), (0.29403, 0.32553), (0.0, 0.0)]","[0.30894, 0.60439, 1.0]","[(0.29368, 0.32419), (0.60016, 0.60863), (1.0, 1.0)]"
