Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA65,0.15439829160527613,0.07083416924754123,"[0.04513, 0.02008, 1.0]","[(0.04127, 0.04898), (0.01002, 0.03014), (1.0, 1.0)]","[0.97493, 0.89746, 0.14134]","[(0.96381, 0.98606), (0.89183, 0.90309), (0.13508, 0.1476)]"
OA48,0.02951946767809731,0.02714115671272048,"[0.14498, 0.12195, nan]","[(0.1315, 0.15846), (0.02179, 0.22212), (nan, nan)]","[0.90244, 0.82068, 0.32269]","[(0.81161, 0.99327), (0.80599, 0.83537), (0.30493, 0.34045)]"
OA5,-0.06924416483470656,-0.038764791735649104,"[0.02883, 0.11243, 0.72222]","[(0.02537, 0.03228), (0.09554, 0.12933), (0.60276, 0.84169)]","[0.97351, 0.91976, 0.11204]","[(0.96509, 0.98194), (0.91417, 0.92535), (0.10597, 0.11812)]"
OA60,0.14929968510217712,0.12696521488053947,"[0.09217, 0.09819, 0.91667]","[(0.08475, 0.09959), (0.0786, 0.11779), (0.84673, 0.9866)]","[0.95349, 0.78226, 0.28975]","[(0.94007, 0.96691), (0.77173, 0.7928), (0.27891, 0.3006)]"
KOA38,0.12729858588215745,0.09388047026343166,"[0.12569, 0.04942, 0.88235]","[(0.11849, 0.13289), (0.04132, 0.05752), (0.72919, 1.03551)]","[0.90935, 0.89356, 0.20901]","[(0.89866, 0.92005), (0.88687, 0.90025), (0.20138, 0.21664)]"
HOA7,0.18106530647270885,0.13481339864123623,"[0.33914, 0.02083, 1.0]","[(0.3303, 0.34798), (0.00655, 0.03512), (1.0, 1.0)]","[0.93059, 0.86089, 0.46528]","[(0.90534, 0.95585), (0.85443, 0.86735), (0.45613, 0.47444)]"
HOA35,0.11226908015779727,0.10341488947373652,"[0.1254, 0.0597, 0.92149]","[(0.11823, 0.13256), (0.05161, 0.06778), (0.8876, 0.95538)]","[0.93478, 0.91627, 0.18647]","[(0.92665, 0.94291), (0.91037, 0.92218), (0.17935, 0.19358)]"
HOA4,0.028712083600729684,-0.01779829572765263,"[0.06677, 0.08475, 1.0]","[(0.062, 0.07155), (0.03449, 0.135), (1.0, 1.0)]","[0.88333, 0.92275, 0.1447]","[(0.8259, 0.94077), (0.91764, 0.92786), (0.13801, 0.1514)]"
HOA20,0.14807710190908568,0.14641923791272463,"[0.24218, 0.01842, 1.0]","[(0.23199, 0.25238), (0.00886, 0.02798), (1.0, 1.0)]","[0.92998, 0.94249, 0.27931]","[(0.91244, 0.94751), (0.93697, 0.94801), (0.26918, 0.28944)]"
HOA47,-0.18532787804392703,-0.1211770418366944,"[0.06777, 0.2714, 0.6713]","[(0.0631, 0.07244), (0.25364, 0.28917), (0.64415, 0.69845)]","[0.97553, 0.87178, 0.19879]","[(0.97046, 0.98061), (0.86587, 0.8777), (0.19206, 0.20551)]"
OA23,0.1002929307998155,0.1690916350816501,"[0.15717, 0.024, 0.92554]","[(0.15069, 0.16365), (0.01768, 0.03032), (0.90813, 0.94296)]","[0.96061, 0.91938, 0.21326]","[(0.95379, 0.96744), (0.9147, 0.92406), (0.20656, 0.21995)]"
OA31,-0.07606113925384536,-0.029407460009508467,"[0.03961, 0.07422, 0.84848]","[(0.03598, 0.04324), (0.06122, 0.08721), (0.72615, 0.97082)]","[0.9505, 0.94157, 0.1011]","[(0.93986, 0.96114), (0.93721, 0.94592), (0.09585, 0.10635)]"
OA12,-0.15441116933679944,-0.15223660198469977,"[0.07293, 0.28009, 0.69697]","[(0.06761, 0.07824), (0.23775, 0.32244), (0.58609, 0.80784)]","[0.85542, 0.92328, 0.16142]","[(0.82453, 0.88631), (0.91786, 0.9287), (0.15408, 0.16877)]"
OA82,0.14394360136481274,0.10175296505129675,"[0.32958, 0.07812, 1.0]","[(0.31352, 0.34565), (0.03163, 0.12462), (1.0, 1.0)]","[0.90698, 0.90638, 0.41381]","[(0.85685, 0.9571), (0.89643, 0.91634), (0.3973, 0.43033)]"
OA76,0.12361666663889949,0.08831788402590116,"[0.09749, 0.02549, 0.89744]","[(0.08812, 0.10685), (0.01353, 0.03745), (0.83011, 0.96477)]","[0.97852, 0.96874, 0.11583]","[(0.96811, 0.98893), (0.9633, 0.97418), (0.1065, 0.12515)]"
OA86,0.14922207939199555,0.19262771485475172,"[0.12599, 0.04963, 0.88462]","[(0.11982, 0.13215), (0.04118, 0.05807), (0.85567, 0.91356)]","[0.97739, 0.84659, 0.24299]","[(0.97207, 0.9827), (0.84003, 0.85314), (0.2358, 0.25018)]"
