Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.37467421821103325,0.35436263393234463,"[0.45011, 0.37076, 0.80615]","[(0.44142, 0.4588), (0.35451, 0.38702), (0.76847, 0.84382)]","[0.86137, 0.63162, 0.76115]","[(0.85041, 0.87234), (0.62333, 0.63991), (0.75454, 0.76776)]"
OA51,0.08517691815265942,0.12032086408900708,"[0.59095, 0.59509, nan]","[(0.57338, 0.60853), (0.51973, 0.67045), (nan, nan)]","[0.68098, 0.64017, 0.9489]","[(0.60943, 0.75254), (0.62302, 0.65733), (0.94123, 0.95656)]"
OA24,0.14529696767077505,0.22307956232295625,"[0.44223, 0.4945, 0.38914]","[(0.43049, 0.45397), (0.47092, 0.51808), (0.32486, 0.45342)]","[0.79209, 0.59354, 0.8194]","[(0.77407, 0.81012), (0.58211, 0.60497), (0.81127, 0.82753)]"
OA22,0.2977294090384632,0.29270764032144775,"[0.45894, 0.56307, 0.74115]","[(0.44986, 0.46802), (0.54321, 0.58294), (0.7126, 0.7697)]","[0.85173, 0.66357, 0.79559]","[(0.8396, 0.86386), (0.65527, 0.67186), (0.7889, 0.80228)]"
KOA61,0.0055460365563767796,0.04065058813927935,"[0.47527, 0.74219, nan]","[(0.4665, 0.48404), (0.66641, 0.81797), (nan, nan)]","[0.80469, 0.59965, 0.87625]","[(0.73601, 0.87337), (0.59104, 0.60825), (0.8705, 0.88201)]"
OA62,0.2273555617725061,0.2899812764787107,"[0.43124, 0.51802, 0.46721]","[(0.41748, 0.44499), (0.48659, 0.54945), (0.37868, 0.55575)]","[0.89753, 0.59475, 0.80074]","[(0.87955, 0.91551), (0.58128, 0.60822), (0.79059, 0.81089)]"
KOA53,0.06006277334395314,0.09319569686414868,"[0.30041, 0.68279, 0.4375]","[(0.29218, 0.30865), (0.6571, 0.70848), (0.35156, 0.52344)]","[0.87905, 0.49514, 0.80574]","[(0.8619, 0.8962), (0.48621, 0.50407), (0.79898, 0.8125)]"
HOA46,-0.04377201556719307,0.012354121766084717,"[0.57634, 0.39535, 0.0]","[(0.56664, 0.58604), (0.29201, 0.49868), (0.0, 0.0)]","[0.48352, 0.65948, 0.91675]","[(0.38084, 0.58619), (0.65018, 0.66878), (0.91135, 0.92215)]"
KOA29,0.08138471488910995,0.10562829301344377,"[0.30515, 0.79593, 1.0]","[(0.29574, 0.31456), (0.77854, 0.81332), (1.0, 1.0)]","[0.89512, 0.45406, 0.86054]","[(0.88192, 0.90832), (0.44389, 0.46423), (0.85414, 0.86694)]"
OA33,0.08828635409898644,0.1832696308996598,"[0.28673, 0.50572, 0.48485]","[(0.27675, 0.2967), (0.48955, 0.52189), (0.40859, 0.56111)]","[0.88845, 0.55973, 0.69269]","[(0.87849, 0.89842), (0.5489, 0.57057), (0.68428, 0.70109)]"
