Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
HOA7,-0.06909954188217292,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA35,-0.07273070639590073,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA4,-0.0017733336912711707,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA20,0.12310545777622217,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA47,0.028671817024403787,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA23,0.007007410657559995,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA31,-0.046315831264051796,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA12,0.06461631371456326,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA82,0.060678433870538374,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA76,-0.11722527313577057,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA86,0.17474709235355337,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA75,0.005398639274516395,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA25,-0.08719949017494924,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA1,0.092259439238817,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA89,0.2603642309959553,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA47,0.10439279747302174,nan,"[0.0, 0.0, nan]","[(0.0, 0.0), (0.0, 0.0), (nan, nan)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
