Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.3599716542577783,0.32144363878321913,"[0.35121, 0.21957, 0.89598]","[(0.34287, 0.35955), (0.20564, 0.2335), (0.86689, 0.92507)]","[0.90907, 0.7021, 0.58476]","[(0.89994, 0.91819), (0.69424, 0.70996), (0.57712, 0.5924)]"
OA51,0.016832057019802782,-0.0016368490661074883,"[0.25707, 0.58282, nan]","[(0.24145, 0.27269), (0.50712, 0.65852), (nan, nan)]","[0.79141, 0.51912, 0.74069]","[(0.72904, 0.85379), (0.50126, 0.53698), (0.72544, 0.75595)]"
OA24,0.09911944070791212,0.1130451762818912,"[0.32611, 0.56688, 0.34842]","[(0.31502, 0.33719), (0.54351, 0.59025), (0.2856, 0.41124)]","[0.84702, 0.5841, 0.73543]","[(0.83104, 0.86301), (0.57263, 0.59557), (0.72611, 0.74476)]"
OA22,0.15077297183592445,0.11850012073915561,"[0.24447, 0.70969, 0.56858]","[(0.23664, 0.2523), (0.69151, 0.72787), (0.5363, 0.60087)]","[0.9242, 0.53584, 0.72884]","[(0.91516, 0.93323), (0.52709, 0.54459), (0.72146, 0.73621)]"
KOA61,0.017082278787374994,0.04611376706362051,"[0.53557, 0.75781, nan]","[(0.52681, 0.54433), (0.68359, 0.83203), (nan, nan)]","[0.80469, 0.68797, 0.84867]","[(0.73601, 0.87337), (0.67983, 0.69611), (0.84241, 0.85493)]"
OA62,0.141239697757051,0.23639419159273334,"[0.22265, 0.35118, 0.67213]","[(0.21109, 0.2342), (0.32116, 0.38121), (0.58883, 0.75543)]","[0.95151, 0.56261, 0.6208]","[(0.93878, 0.96424), (0.549, 0.57622), (0.60847, 0.63313)]"
KOA53,0.05785059967110975,0.06558333411911958,"[0.32284, 0.65821, 0.17969]","[(0.31444, 0.33123), (0.63203, 0.68439), (0.11318, 0.2462)]","[0.85169, 0.53943, 0.78357]","[(0.833, 0.87038), (0.53052, 0.54833), (0.77653, 0.7906)]"
HOA46,0.0151880608997758,0.014443018372777167,"[0.29785, 0.5, 0.0]","[(0.28888, 0.30683), (0.39432, 0.60568), (0.0, 0.0)]","[0.75824, 0.50897, 0.78834]","[(0.67027, 0.84621), (0.49916, 0.51879), (0.78036, 0.79633)]"
KOA29,0.05178483477571658,0.024333958622549053,"[0.22995, 0.81677, 1.0]","[(0.22135, 0.23855), (0.80008, 0.83347), (1.0, 1.0)]","[0.92992, 0.46394, 0.78846]","[(0.91892, 0.94092), (0.45376, 0.47413), (0.78092, 0.796)]"
OA33,0.15345683574627014,0.2002233850119297,"[0.16299, 0.23066, 0.79394]","[(0.15485, 0.17114), (0.21704, 0.24429), (0.73222, 0.85566)]","[0.92494, 0.656, 0.44614]","[(0.9166, 0.93328), (0.64563, 0.66637), (0.43709, 0.4552)]"
OA72,-0.02014270828759976,-0.04712547847528376,"[0.1714, 0.69691, 0.2]","[(0.1635, 0.1793), (0.65854, 0.73529), (0.02469, 0.37531)]","[0.91769, 0.58088, 0.60108]","[(0.89515, 0.94023), (0.57054, 0.59121), (0.59112, 0.61104)]"
HOA37,0.2244949962127114,0.21966840932585086,"[0.26037, 0.42217, 0.7606]","[(0.25165, 0.2691), (0.40179, 0.44256), (0.71883, 0.80236)]","[0.92131, 0.5877, 0.64873]","[(0.91107, 0.93155), (0.57811, 0.59729), (0.64018, 0.65728)]"
KOA8,0.09538687845286187,0.10740507734817879,"[0.45407, 0.65834, 0.31746]","[(0.44506, 0.46309), (0.62465, 0.69204), (0.20251, 0.43241)]","[0.83131, 0.63497, 0.81884]","[(0.80574, 0.85688), (0.62627, 0.64366), (0.81208, 0.8256)]"
OA49,0.04787079240590933,0.023940773574560665,"[0.2963, 0.34959, nan]","[(0.28283, 0.30978), (0.26532, 0.43386), (nan, nan)]","[0.82114, 0.747, 0.54874]","[(0.75341, 0.88887), (0.73417, 0.75983), (0.53426, 0.56323)]"
