Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.2755545771730845,0.11738408471201774,"[0.73057, 0.34387, 0.00257]","[(0.72743, 0.73371), (0.33711, 0.35062), (0.00067, 0.00447)]","[0.3881, 0.71641, 0.99968]","[(0.38162, 0.39458), (0.71327, 0.71954), (0.99956, 0.99979)]"
OA51,-0.011733020323817164,-0.004671612463237846,"[0.98309, 0.01412]","[(0.98121, 0.98497), (0.0065, 0.02173)]","[0.01412, 0.98309]","[(0.0065, 0.02173), (0.98121, 0.98497)]"
OA24,-0.11552398214878311,-0.13974195571841813,"[0.6023, 0.20458, 0.0]","[(0.59764, 0.60696), (0.19614, 0.21303), (0.0, 0.0)]","[0.22475, 0.60529, 1.0]","[(0.21679, 0.23271), (0.60073, 0.60985), (1.0, 1.0)]"
OA22,0.2845714216518068,0.035757370231040864,"[0.67733, 0.21178, 0.03052]","[(0.67388, 0.68079), (0.20478, 0.21878), (0.0261, 0.03495)]","[0.3372, 0.65751, 0.99952]","[(0.33046, 0.34394), (0.65414, 0.66088), (0.99937, 0.99967)]"
KOA61,0.04565852562225472,0.003409557735495167,"[0.99953, 0.00118, 0.0]","[(0.99938, 0.99969), (-0.00113, 0.0035), (0.0, 0.0)]","[0.00117, 0.99953, 1.0]","[(-0.00113, 0.00347), (0.99938, 0.99969), (1.0, 1.0)]"
OA62,-0.1777152211907063,-0.26587728111356085,"[0.51138, 0.10925, 0.0]","[(0.50575, 0.51702), (0.10091, 0.11759), (0.0, 0.0)]","[0.13398, 0.5179, 0.99907]","[(0.12551, 0.14244), (0.51234, 0.52345), (0.99876, 0.99939)]"
KOA53,-0.0738093599983238,-0.015780388388290573,"[0.93357, 0.04172, 0.0]","[(0.93175, 0.93539), (0.03698, 0.04646), (0.0, 0.0)]","[0.05232, 0.93285, 0.99991]","[(0.04737, 0.05727), (0.93104, 0.93467), (0.99985, 0.99998)]"
HOA46,-0.06387573993310225,-0.08589777025208822,"[0.38255, 0.25551, 0.0]","[(0.37865, 0.38646), (0.22473, 0.2863), (0.0, 0.0)]","[0.25249, 0.38279, 1.0]","[(0.22246, 0.28252), (0.37889, 0.3867), (1.0, 1.0)]"
KOA29,-0.12944470237339317,-0.23095114601584177,"[0.47945, 0.20786, 0.0]","[(0.47534, 0.48357), (0.20025, 0.21548), (0.0, 0.0)]","[0.20767, 0.4797, 1.0]","[(0.20007, 0.21527), (0.47559, 0.48382), (1.0, 1.0)]"
OA33,-0.14042179062539728,-0.2254514678387342,"[0.51411, 0.22817, 0.00336]","[(0.5097, 0.51852), (0.22223, 0.23411), (0.00068, 0.00605)]","[0.23803, 0.51927, 0.99993]","[(0.23226, 0.24379), (0.51494, 0.5236), (0.99986, 0.99999)]"
OA72,-0.07313867773908292,-0.08434954467874363,"[0.80185, 0.05659, 0.0]","[(0.79844, 0.80526), (0.04862, 0.06455), (0.0, 0.0)]","[0.05879, 0.80279, 0.99928]","[(0.05082, 0.06675), (0.79939, 0.80619), (0.99906, 0.9995)]"
HOA37,-0.021743543370782586,-0.13651299984489923,"[0.70429, 0.12174, 0.0]","[(0.70063, 0.70795), (0.11585, 0.12764), (0.0, 0.0)]","[0.13907, 0.70733, 0.99999]","[(0.1334, 0.14473), (0.70376, 0.7109), (0.99996, 1.00001)]"
KOA8,-0.04448289468504273,-0.07739125056063495,"[0.77562, 0.08333, 0.0]","[(0.77254, 0.7787), (0.0751, 0.09156), (0.0, 0.0)]","[0.09258, 0.7758, 1.0]","[(0.08432, 0.10084), (0.77273, 0.77887), (1.0, 1.0)]"
OA49,0.006290051200695488,-0.015476219185541233,"[0.50045, 0.45064]","[(0.49443, 0.50647), (0.41376, 0.48753)]","[0.45064, 0.50045]","[(0.41376, 0.48753), (0.49443, 0.50647)]"
KOA20,-0.02717809459075063,-0.06354468081790551,"[0.73616, 0.0709, 0.0]","[(0.73294, 0.73938), (0.05835, 0.08344), (0.0, 0.0)]","[0.07562, 0.73618, 1.0]","[(0.06287, 0.08837), (0.73296, 0.73939), (1.0, 1.0)]"
OA44,-0.22629353008994857,-0.16106768407131306,"[0.52693, 0.22339, 0.0]","[(0.52259, 0.53126), (0.21331, 0.23347), (0.0, 0.0)]","[0.22257, 0.52746, 1.0]","[(0.21257, 0.23258), (0.52313, 0.53179), (1.0, 1.0)]"
KOA50,-0.09834464325850582,-0.06678358765141358,"[0.71489, 0.10443, 0.01587]","[(0.7113, 0.71848), (0.09066, 0.1182), (-0.01499, 0.04674)]","[0.1123, 0.71484, 1.0]","[(0.09832, 0.12628), (0.71125, 0.71843), (1.0, 1.0)]"
KOA21,0.10682118513630937,-0.06347300896699026,"[0.63901, 0.18856, 0.0]","[(0.6349, 0.64312), (0.1794, 0.19772), (0.0, 0.0)]","[0.26465, 0.63248, 0.99995]","[(0.25546, 0.27385), (0.62842, 0.63654), (0.99989, 1.00001)]"
OA25,-0.10995072450272797,-0.06934717648209296,"[0.82586, 0.10341, 0.0]","[(0.8213, 0.83042), (0.09498, 0.11183), (0.0, 0.0)]","[0.10442, 0.82601, 0.99997]","[(0.09606, 0.11279), (0.82146, 0.83055), (0.99991, 1.00003)]"
